,PR,condition
0,10.10352245,pla_ket
1,9.895426723,pla_ket
2,9.789700407,pla_ket
3,10.04868903,pla_ket
4,11.1213614,pla_ket
5,10.83733869,pla_ket
6,10.61564779,pla_ket
7,9.779479125,pla_ket
8,11.21905383,pla_ket
9,11.42314501,pla_ket
10,11.12781185,pla_ket
11,11.46485884,pla_ket
12,11.78012369,pla_ket
13,10.91657272,pla_ket
14,10.24675837,pla_ket
15,12.27683748,pla_ket
16,11.14217151,pla_ket
17,9.934712593,pla_ket
18,10.30924697,pla_ket
19,9.679796606,pla_ket
20,10.51689316,pla_ket
21,10.75383767,pla_ket
22,10.69790651,pla_ket
23,10.896432,pla_ket
24,9.832111905,pla_ket
25,9.518419209,pla_ket
26,11.12523349,pla_ket
27,12.50604871,pla_ket
28,8.359819217,pla_ket
29,10.93176698,pla_ket
30,9.093552456,pla_ket
31,11.1170483,pla_ket
32,10.12579602,pla_ket
33,9.223922878,pla_ket
34,8.744314594,pla_ket
35,10.10110573,pla_ket
36,10.82163415,pla_ket
37,8.75005441,pla_ket
38,9.742387972,pla_ket
39,10.13776738,pla_ket
40,11.00839423,pla_ket
41,9.955232642,pla_ket
42,9.187567464,pla_ket
43,10.93628063,pla_ket
44,9.3105691,pla_ket
45,9.460691597,pla_ket
46,11.78065147,pla_ket
47,9.614680435,pla_ket
48,11.03516794,pla_ket
49,9.954778174,pla_ket
50,9.672192422,pla_ket
51,10.6894924,pla_ket
52,11.38390439,pla_ket
53,8.31924114,pla_ket
54,11.21541115,pla_ket
55,10.58033691,pla_ket
56,9.986936019,pla_ket
57,9.867601352,pla_ket
58,11.15596395,pla_ket
59,11.30537645,pla_ket
60,10.72815715,pla_ket
61,10.9433472,pla_ket
62,10.67384422,pla_ket
63,10.55143473,pla_ket
64,9.157231046,pla_ket
65,10.57883375,pla_ket
66,10.51377135,pla_ket
67,11.9973326,pla_ket
68,9.29925228,pla_ket
69,8.448804428,pla_ket
70,9.741134627,pla_ket
71,11.2759676,pla_ket
72,12.1694013,pla_ket
73,8.677908868,pla_ket
74,11.21682183,pla_ket
75,10.86088602,pla_ket
76,10.6714347,pla_ket
77,11.74601654,pla_ket
78,8.439877413,pla_ket
79,9.715366952,pla_ket
80,11.77693485,pla_ket
81,10.70637977,pla_ket
82,10.59534803,pla_ket
83,10.37766887,pla_ket
84,11.04566865,pla_ket
85,9.865384923,pla_ket
86,11.07474785,pla_ket
87,11.16061586,pla_ket
88,11.09753466,pla_ket
89,10.19329681,pla_ket
90,11.05195055,pla_ket
91,9.135456678,pla_ket
92,11.12868012,pla_ket
93,11.71899674,pla_ket
94,10.00218307,pla_ket
95,9.970071,pla_ket
96,9.680347386,pla_ket
97,9.812685951,pla_ket
98,10.6331963,pla_ket
99,8.861607916,pla_ket
100,11.915509,ket
101,11.6510912,ket
102,11.65920767,ket
103,11.25659535,ket
104,12.76647232,ket
105,11.50926977,ket
106,12.46527126,ket
107,11.30097693,ket
108,12.78948018,ket
109,12.03428622,ket
110,12.36782115,ket
111,10.56740513,ket
112,13.51379185,ket
113,11.37181127,ket
114,11.6445545,ket
115,10.68349293,ket
116,14.35933159,ket
117,12.64328146,ket
118,12.21031479,ket
119,12.43986539,ket
120,12.42863172,ket
121,12.05103141,ket
122,11.67414383,ket
123,12.17160564,ket
124,12.21089195,ket
125,11.54534892,ket
126,12.88622578,ket
127,11.28399952,ket
128,11.38815322,ket
129,12.62948525,ket
130,11.66230922,ket
131,11.66591734,ket
132,11.74397032,ket
133,12.18990524,ket
134,11.07441823,ket
135,11.46562485,ket
136,12.6838098,ket
137,11.50059756,ket
138,10.80476727,ket
139,12.95666832,ket
140,12.15816564,ket
141,11.1177752,ket
142,13.35990363,ket
143,11.19109206,ket
144,11.89316686,ket
145,12.02090804,ket
146,13.28063851,ket
147,11.15021563,ket
148,11.44876819,ket
149,12.13278601,ket
150,13.32045389,ket
151,12.84328554,ket
152,12.18144654,ket
153,11.28736059,ket
154,11.914875,ket
155,11.25142005,ket
156,11.85449436,ket
157,11.65948669,ket
158,13.87280309,ket
159,12.82903871,ket
160,12.27911921,ket
161,12.78550027,ket
162,12.25737834,ket
163,12.32461947,ket
164,11.8152591,ket
165,12.35151091,ket
166,10.89961844,ket
167,11.30508684,ket
168,12.72599931,ket
169,12.25170108,ket
170,12.2997444,ket
171,11.29870092,ket
172,11.16399995,ket
173,11.12943088,ket
174,12.28163762,ket
175,12.04407119,ket
176,12.3502684,ket
177,13.03306023,ket
178,11.86174344,ket
179,13.03333178,ket
180,12.51522866,ket
181,11.89818224,ket
182,12.110843,ket
183,10.58227351,ket
184,10.97711044,ket
185,10.95930997,ket
186,12.47691627,ket
187,12.97452208,ket
188,11.53001932,ket
189,11.12764328,ket
190,11.76978159,ket
191,12.09330342,ket
192,11.65837071,ket
193,11.94880874,ket
194,12.62951453,ket
195,13.68910113,ket
196,12.44095252,ket
197,12.77146732,ket
198,11.57038161,ket
199,12.71018379,ket
200,11.65741346,delta_ket
201,12.01406642,delta_ket
202,12.72987486,delta_ket
203,11.74671174,delta_ket
204,12.7773628,delta_ket
205,12.64285252,delta_ket
206,11.63671123,delta_ket
207,12.36081944,delta_ket
208,12.31534111,delta_ket
209,11.7576578,delta_ket
210,12.90123594,delta_ket
211,11.57751178,delta_ket
212,13.89305944,delta_ket
213,12.44821271,delta_ket
214,11.65323667,delta_ket
215,12.76111421,delta_ket
216,11.50480554,delta_ket
217,12.11509003,delta_ket
218,12.53913835,delta_ket
219,11.91951821,delta_ket
220,12.89507144,delta_ket
221,12.06286424,delta_ket
222,11.36616398,delta_ket
223,13.47003325,delta_ket
224,12.14843205,delta_ket
225,11.95856159,delta_ket
226,12.24094877,delta_ket
227,13.34252471,delta_ket
228,11.2823599,delta_ket
229,12.6209657,delta_ket
230,11.6066692,delta_ket
231,13.10117863,delta_ket
232,11.5105655,delta_ket
233,10.48297578,delta_ket
234,12.03881094,delta_ket
235,11.94496253,delta_ket
236,12.09163864,delta_ket
237,11.76566501,delta_ket
238,12.16782612,delta_ket
239,11.28184707,delta_ket
240,12.14885335,delta_ket
241,11.84776433,delta_ket
242,12.18163166,delta_ket
243,12.50426587,delta_ket
244,12.32375898,delta_ket
245,13.20143755,delta_ket
246,13.65950995,delta_ket
247,12.26796119,delta_ket
248,12.67695418,delta_ket
249,12.08470217,delta_ket
250,12.05240066,delta_ket
