"Group"	"PC1"	"PC2"
"CON"	-1.4876977550587	-2.58562891290483
"CON"	-1.31670512616347	-2.31700391457318
"CON"	-1.44860893943118	-2.25334984025335
"CON"	-1.71365117286238	-2.75907052350576
"CON"	-1.25796954346813	-2.62702866023697
"CON"	-1.74168828870718	-2.3513061852683
"CON"	-1.0177096020465	-2.73929418972361
"CON"	-1.14883131547983	-2.72126682646678
"CON"	-0.99136592500967	-2.47596774775575
"CON"	-1.01731530025425	-2.76229725551604
"CON"	-1.18884078007961	-2.5307765436918
"CON"	-2.15012817854554	-2.67161443079675
"CON"	-1.42840620788126	-2.45902805675579
"CON"	-1.14775694297631	-2.78394435385836
"CON"	-1.7233872607322	-2.68023740623894
"CON"	-1.25819295550365	-2.61399508582083
"CON"	-0.991849204361984	-2.44777384411146
"CON"	-1.71236891612849	-2.38439664027768
"CON"	-2.09143946207211	-2.27279611936185
"CON"	-0.992552167888321	-2.40676384475574
"CON"	-1.01860060673091	-2.6873141080198
"CON"	-1.25823783151744	-2.61137707616876
"CON"	-1.36403800866898	-2.27039287742512
"CON"	-1.01657349382742	-2.80557330035587
"CON"	-1.77684033210735	-2.31221834090782
"CON"	-1.25945871867818	-2.54015206975033
"CON"	-1.01836493155153	-2.7010630986751
"CON"	-1.68450393660545	-2.59772969748298
"CON"	-4.1270845478382	-2.8685568333976
"CON"	-1.6841908765284	-2.61599322478853
"CON"	-1.25639946109829	-2.7186252716733
"CON"	-1.0173050629433	-2.76289448723547
"CON"	-1.56954531868778	-2.70379598301799
"CON"	-1.72986235223027	-2.73911031913086
"CON"	-2.34640906503023	-2.59897825162514
"CON"	-1.45672906610246	-2.61631510828818
"CON"	-1.27399009659496	-2.33475410920661
"CON"	-1.14819951744446	-2.75812512146026
"CON"	-1.0228954902731	-2.43675605671414
"CON"	-1.43802081041795	-2.69700832072323
